File ID,Data Split,Original English,English,Hindi
p252_133,train,Eight others have followed.,eight others have followed.,एट अदर्स हैव फॉलोड.
p252_147,train,I am never fully fit.,i am never fully fit.,आई ऐम नेवर फुली फिट.
p252_161,train,I told them during their morning break.,i told them during their morning break.,आई टोल्ड देम ड्यूरिंग धेर मॉर्निंग ब्रेक.
p252_171,train,"That apart, though, I feel good.","that apart, though, i feel good.","थैट अपार्ट, दो, आई फील गुड."
p252_179,train,I knew Donald Dewar.,i knew donald dewar.,आई न्यू डॉनल्ड डुआर.
p252_187,train,It involved everything in terms of behaviour.,it involved everything in terms of behavior.,इट इनवॉल्व्ड एव्रीथिंग इन टर्म्स अव बिहेवियर.
p252_195,train,Which can happen any time.,which can happen any time.,विच कैन हैपन ऐनी टाइम.
p252_221,train,The labour side had developed in the North area.,the labor side had developed in the north area.,द लेबर साइड हैड डिवेलप्ड इन द नॉर्थ एरिया.
p252_229,train,Three hit the target.,three hit the target.,थ्री हिट द टार्गेट.
p252_236,train,There is a good reason for this.,there is a good reason for this.,थेर इस अ गुड़ रीज़न फॉर दिस.
p252_243,train,I did let myself down a bit.,i did let myself down a bit.,आई डिड लेट माइसेल्फ डाउन अ बिट.
p252_263,train,He makes time for everyone.,he makes time for everyone.,ही मेक्स टाइम फॉर एवरीवन.
p252_268,train,But the next day she paid for it.,but the next day she paid for it.,बट द नेक्स्ट डे शी पेड फॉर इट.
p252_276,train,All films open tomorrow,all films open tomorrow,ऑल फिल्म्स ओपन टमारो
p252_286,train,The future might well be green after all.,the future might well be green after all.,द फ्यूचर माइट वेल बी ग्रीन आफ्टर ऑल.
p252_300,train,Stephen had never considered the question of compensation.,stephen had never considered the question of compensation.,स्टीवन हैड नेवर कंसिडर्ड द क्वेशन अफ कम्पेंसेशन.
p252_309,train,"Their eyes, however, told a different story.","their eyes, however, told a different story.","देयर आइज़, हाउएवर, टोल्ड अ डिफरेंट स्टोरी."
p252_321,train,We lost to a poor team.,we lost to a poor team.,वी लॉस्ट टू अ पुर टीम.
p252_334,train,Does that put pressure on us?,does that put pressure on us,डज धैट पट प्रेशर ऑन अस
p252_353,dev,The senior management team will be drawn from both companies.,the senior management team will be drawn from both companies.,द सीनियर मैनेजमेंट टीम विल बी ड्रॉन फ्रम बोथ कंपनिज.
p252_356,train,Are they free?,are they free,आर थे फ्री
p252_361,dev,Employees are entitled to follow their contract to the letter.,employees are entitled to follow their contract to the letter.,एम्प्लॉइज़ आर एंटाइटल्ड टू फॉलो देर कॉन्ट्रैक्ट टू द लेटर.
p252_363,train,That seems highly unlikely.,that seems highly unlikely.,थैट सीम्ज़ हाइली अनलाइकली.
p252_367,train,You will lose benefit because you have broken the rules.,you will lose benefit because you have broken the rules.,यू विल लूज़ बेनिफिट बिकज यू हैव ब्रोकन द रूल्स.
p252_376,train,We have no information on Iraq.,we have no information on iraq.,वी हैव नो इन्फर्मेशन ऑन इराक.
p252_392,train,The property is owned by Glasgow City Council.,the property is owned by glasgow city council.,द प्रॉपर्टी इस ओन्ड बाई ग्लासगो सिटी काउन्सिल.
p252_393,train,There's nothing natural left.,there's nothing natural left.,देर्स नोथिंग नैचरल लेफ्ट.
p252_395,train,There's always a case.,there's always a case.,देर्स आलवेज अ केस.
p252_396,test,The new manager must make tough decisions.,the new manager must make tough decisions.,द न्यू मैनेजर मस्ट मेक टफ डिसिजन्स.
p252_402,train,So what happens next?,so what happens next,सो व्हट हैपन्स नेक्स्ट
p252_411,train,I'd like to report a murder.,i would like to report a murder.,आई वुड लाइक तू रिपोर्ट अ मर्डर.
p253_013,train,Some have accepted it as a miracle without physical explanation.,some have accepted it as a miracle without physical explanation.,सम हैव एक्सेप्टेड इट ऐस अ मिरेकल विदाउट फिजिकल एक्स्प्लेनेशन.
p253_014,train,To the Hebrews it was a token that there would be no more universal floods.,to the hebrews it was a token that there would be no more universal floods.,तू द हिब्रूज़ इट वाज़ अ टोकन धैट धेर वुड बी नो मोर यूनिवर्सल फ्लड्स.
p253_017,train,Others have tried to explain the phenomenon physically.,others have tried to explain the phenomenon physically.,अदूर हैव ट्राइड टू एक्सप्लेन द फेनोमेनन फिजिकली.
p253_044,train,It is hard to avoid the conclusion that lessons have been learned.,it is hard to avoid the conclusion that lessons have been learned.,इट इस हार्ड टू ऐवॉइड द कन्क्लूजन दैट लेसन्स हैव बीन लर्न्ड.
p253_051,train,It is bizarre.,it is bizarre.,इट इस बिज़ार.
p253_060,train,Several other pupils and staff were seriously injured in the accident.,several other pupils and staff were seriously injured in the accident.,सेवरल अदर प्यूपिल्स एंड स्टाफ वर सिरिअसली इंजर्ड इन दि ऐक्सिडेंट.
p253_076,train,"I am a soldier, a soldier, a soldier.","i am a soldier, a soldier, a soldier.","आई ऐम अ सोल्ज़र, अ सोल्ज़र, अ सोल्ज़र."
p253_078,train,The party is up for it.,the party is up for it.,द पार्टी इस अप फॉर इट.
p253_089,train,The city council is a major property owner in the area.,the city council is a major property owner in the area.,द सिटी काउंसिल इस अ मेजर प्रॉपर्टी ओनर इन दि एरिया.
p253_096,train,He's been hit by it.,he has been hit by. it,ही हैज़ बीन हिट बाई. इट
p253_097,train,I love the Dome.,i love the dome.,आई लव द डोम.
p253_102,train,They make a selective perception process.,they make a selective perception process.,दे मेक अ सिलेक्टिव पर्सेप्शन प्रॉसेस.
p253_117,train,Tony Blair's spokesman insisted the decision came from Dublin.,tony blair's spokesman insisted the decision came from dublin.,टोनी ब्लेअर्स स्पोक्समैन इंसिस्टेड द डिसिजन कैम फ्रम डब्लिन.
p253_118,train,The mood is upbeat.,the mood is upbeat.,द मूड इस अपबीट.
p253_129,train,It's not a U-turn.,it's not a u-turn.,इट्स नाट अ यू-टर्न.
p253_133,train,It plans to return to this field.,it plans to return to this field.,इट प्लैन्स टू रिटर्न टू दिस फील्ड.
p253_135,train,The judges will give a ruling next Wednesday.,the judges will give a ruling next wednesday.,द जज विल गिव अ रूलिंग नेक्स्ट वेन्सडे.
p253_142,dev,He realises his mistake.,he realizes his mistake.,ही रिअलाइज हिज़ मिस्टेक.
p253_148,train,It is not just about pay.,it is not just about pay.,इट इस नॉट जस्ट अबाउट पे.
p253_154,train,They have not been named.,they have not been named.,थे हैव नाट बीन नेम्ड.
p253_170,train,We should do everything at a stroke.,we should do everything at a stroke.,वी शुद दू एव्रीथिंग ऐट अ स्ट्रोक.
p253_171,train,You had to go and see him.,you had to go and see him.,यू हैड तू गो ऐंड सी हिम.
p253_181,train,It's an idea.,it's an idea.,इट्स अन आइडिया.
p253_187,train,Our team is just so young.,our team is just so young.,आर टीम इस जस्ट सो यंग.
p253_190,train,It caused a lot of upset.,it caused a lot of upset.,इट कॉज़्ड अ लॉट अव अप्सेट.
p253_192,train,We speak about the performance.,we speak about the performance.,वी स्पीक अबाउट द परफॉर्मेंस.
p253_194,train,Peace was won.,peace was won.,पीस वॉज़ वन.
p253_220,train,"Clearly, the stakes are high.","clearly, the stakes are high.","क्लियरली, द स्टेक्स आर हाइ."
p253_221,train,It's a question of creating a future awareness.,it's a question of creating a future awareness.,इट्स अ क्वेस्चन ऑफ क्रिएटिंग अ फ्यूचर अवैरनेस.
p253_229,train,"Her condition was yesterday described as critical, but stable.","her condition was yesterday described as critical, but stable.","हर कंडीशन वाज येस्टरडे डिस्क्राइब्ड ऐस क्रिटिकल, बट स्टेबल."
p253_237,train,I was ready to shoot the day I read the screenplay.,i was ready to shoot the day i read the screenplay.,आई वाज रेडी तू शूट द डे आई रीड द स्क्रीनप्ले.
p253_253,train,It will now relate to all public bodies in Scotland.,it will now relate to all public bodies in scotland.,इट विल नाऊ रिलेट टू ओल पब्लिक बॉडीज़ इन स्कॉटलैंड.
p253_255,train,They must play for each other.,they must play for each other.,दे मस्ट प्ले फॉर ईच अदर.
p253_270,train,"She has fallen in love with Scotland, however.","she has fallen in love with scotland, however.","शी हैज़ फलन इन लव विथ स्कॉटलैंड, हाउएवर."
p253_301,train,Alex Smith has been a massive influence on my career as well.,alex smith has been a massive influence on my career as well.,अलेक्स स्मिथ हैज़ बीन अ मैसिव इनफ्लूएंस ऑन माय कैरियर अस वेल.
p253_303,train,You should be.,you should be.,यू शुद बी.
p253_307,train,The Premier League has been a huge success.,the premier league has been a huge success.,द प्रेमियर लीग हैज़ बीन अ ह्यूज सक्सेस.
p253_318,train,But no such amendment has been brought before the Scottish Parliament.,but no such amendment has been brought before the scottish parliament.,बट नो सच अमेंडमेंट हैज बीन ब्रॉट बिफोर द स्कॉटिश पार्लियामेंट.
p253_319,train,"Feel the air, the space.","feel the air, the space.","फील दि ऐर, द स्पेस."
p253_322,train,"The figures are bad, but not that bad.","the figures are bad, but not that bad.","द फिगर्स आर बैड, बट नॉट दॅट बैड."
p253_332,train,This is a friendly match?,this is a friendly match,दिस इज अ फ्रेंडली मैच
p253_333,train,A formal announcement is expected this morning at a news conference.,a formal announcement is expected this morning at a news conference.,अ फॉर्मल अनाउंसमेंट इज़ एक्स्पेक्टेड दिस मॉर्निंग ऐट अ न्यूज़ कॉन्फ्रेंस.
p253_342,train,"In addition, it was in breach of natural justice.","in addition, it was in breach of natural justice.","इन एडिशन, इट वाज इन ब्रीच अव नैचरल जस्टिस."
p253_343,train,Yet he left a few days later.,yet he left a few days later.,येट ही लेफ्ट अ फ्यू डेज लेटर.
p253_355,test,This is a club on the rise.,this is a club on the rise.,दिस इज़ अ क्लब ऑन द राइज़.
p253_376,train,"Since then, he has played no active part in the company.","since then, he has played no active part in the company.","सिंस थेन, ही हैज प्लेड नो ऐक्टिव पार्ट इन द कम्पनी."
p253_378,train,Does that put pressure on us?,does that put pressure on us,डस थैट पुट प्रेशर ऑन अस
p253_385,train,"Well, it did last time, he was reminded.","well, it did last time, he was reminded.","वेल, इट डिड लास्ट टाइम, ही वस रिमाइंडेड."
p253_410,dev,Is there any prospect of this happening?,is there any prospect of this happening,इस देर एनी प्रॉस्पेक्ट अव दिस हैपनिंग
p254_032,train,"So if we can take anything from tonight, it will be fantastic.","so if we can take anything from tonight, it will be fantastic.","सो इफ वी कैन टेक ऐनीथिंग फ्रम टनाइट, इट विल बी फैंटैस्टिक."
p254_034,train,We must provide a long-term solution to tackle this attitude.,we must provide a long-term solution to tackle this attitude.,वी मस्ट प्रवाइड अ लॉन्ग-टर्म सोल्यूशन टू टैकल दिस ऐटिट्यूड.
p254_041,train,It is not for any other purpose.,it is not for any other purpose.,इट इज़ नाट फॉर एनी अदर पर्पस.
p254_049,train,This represents a tough game for us.,this represents a tough game for us.,दिस रेप्रिज़ेंट्स अ टफ गेम फॉर अस.
p254_052,train,That should do it.,that should do it.,धैट शुड डू इट.
p254_071,train,Jobs could go.,jobs could go.,जॉब्स कुड गो.
p254_073,train,They're appalled by that.,they are appalled by that.,थे आर अपॉल्ड बाय दैट.
p254_101,test,"However, it did not end that way.","however, it did not end that way.","हाउएवर, इट डिड नॉट एंड दैट वे."
p254_103,train,The group is due to report by the end of the year.,the group is due to report by the end of the year.,द ग्रूप इस ड्यू तू रिपोर्ट बाय दि एंड अफ द यियर.
p254_104,train,I love the Dome.,i love the dome.,आई लव द डोम.
p254_114,train,It was really enjoyable on Saturday.,it was really enjoyable on saturday.,इट वज़ रियली एन्जॉयबल ऑन सैटरडे.
p254_119,train,It's a long process.,it's a long process.,इट्स अ लॉन्ग प्रॉसेस.
p254_136,train,The whole thing of doing the movie was a risk.,the whole thing of doing the movie was a risk.,द होल थिंग अव डूइंग द मूवी वज़ अ रिस्क.
p254_157,train,I was in daily contact.,i was in daily contact.,आई वस इन डेली कॉन्टैक्ट.
p254_162,train,He's a nice guy.,he's a nice guy.,हीज अ नाइस गाई.
p254_170,train,"Last weekend in Germany, he missed the cut.","last weekend in germany, he missed the cut.","लास्ट वीकेंड इन जर्मनी, ही मिस्ट द कट."
p254_175,train,It was a great achievement to win at Wembley.,it was a great achievement to win at wembley.,इट वाज़ अ ग्रेट ऐचीवमेंट टू विन ऐट वेम्ब्ली.
p254_178,train,The hotel was now for sale.,the hotel was now for sale.,द होटल वस नाउ फर सेल.
p254_183,test,"We talk about Mr Michael Johnson, and he is awesome.","we talk about mister michael johnson, and he is awesome.","वी टॉक अबाउट मिस्टर माइकल जॉनसन, एंड ही इज ऑसम."
p254_187,train,Peace was won.,peace was won.,पीस वज़ वन.
p254_199,train,Today was first class.,today was first class.,टुडे वस फर्स्ट क्लास.
p254_202,train,It's like a garage.,it's like a garage.,इट्स लाइक अ गेराज.
p254_220,train,"If it doesn't, it doesn't.","if it does not, it does not.","इफ इट डज़ नाट, इट डज़ नाट."
p254_222,train,The boy is no longer with us.,the boy is no longer with us.,द बॉय इस नो लॉंगर विथ अस.
p254_229,train,Gerhard Schroeder was the victor.,gerhard schroeder was the victor.,गेरहार्ड श्रोएडर वस द विक्टर.
p254_233,dev,They should come forward.,they should come forward.,दे शुड कम फोरवर्ड.
p254_237,train,"It's a lovely, lovely film.","it's a lovely, lovely film.","इट्स अ लवली, लवली फिल्म."
p254_245,train,The project has already secured the support of Sir Sean Connery.,the project has already secured the support of sir sean connery.,द प्रॉजेक्ट हैज़ आल्रेडी सिक्यूर्ड द सपोर्ट अव सर शॉन कॉनरी.
p254_249,train,He's a lovely young man.,he's a lovely young man.,हीज़ अ लव्ली यंग मैन.
p254_262,train,He thought he had a month to cross the street.,he thought he had a month to cross the street.,ही थॉट ही हैड अ मंथ टू क्रॉस द स्ट्रीट.
p254_263,train,That decision is for the British Parliament and people.,that decision is for the british parliament and people.,ठैट डिसिजन इस फॉर द ब्रिटिश पार्लियमेंट एंड पीपल.
p254_272,train,It depends on the internal discussions in the Ministry of Defence.,it depends on the internal discussions in the ministry of defense.,इट डिपेंड्स ऑन दि इंटरनल डिस्कशन्स इन द मिनिस्ट्री अव डिफेंस.
p254_275,train,"Jim Wallace, justice minister, has refused to hold an inquiry.","jim wallace, justice minister, has refused to hold an inquiry.","जिम वॉलेस, जस्टिस मिनिस्टर, हैज़ रिफ्यूज़्ड टू होल्ड ऐन इन्क्वेरी."
p254_283,train,There was a final revealing detail about the broadcast.,there was a final revealing detail about the broadcast.,थेर वस अ फाइनल रिवीलिंग डिटेल अबाउट द ब्रॉडकास्ट.
p254_314,train,They will certainly be visible from every house in our area.,they will certainly be visible from every house in our area.,दे विल सर्टनली बी विजिबल फ्रॉम एवरी हाउस इन आवर एरिया.
p254_335,train,"It should be a great game, though.","it should be a great game, though.","इट शुद बी अ ग्रेट गेम, दो."
p254_340,train,They should take their mobile phones.,they should take their mobile phones.,धे शुड टेक धेर मोबाइल फोन्स.
p254_352,train,But the real problem is the closure of the export market.,but the real problem is the closure of the export market.,बट द रिल प्रॉब्लम इस द क्लोज़र अव दि एक्सपोर्ट मार्केट.
p254_353,train,No other job in world football can compare to this one.,no other job in world football can compare to this one.,नो अदर जॉब इन वर्ल्ड फुटबॉल कैन कम्पेयर टू दिस वन.
p254_372,train,Yesterday the company reported a further downturn in profits.,yesterday the company reported a further downturn in profits.,येस्टरडे द कंपनी रिपोर्टिड अ फर्थर डाउनटर्न इन प्रोफिट्स.
p254_374,train,It became a national network.,it became a national network.,इट बिकेम अ नेशनल नेटवर्क.
p254_378,train,He has the edge.,he has the edge.,ही हैज़ दि एज.
p254_385,train,Star and producer were in agreement about their opinion of the director.,star and producer were in agreement about their opinion of the director.,स्टार ऐंड प्रोड्यूसर वर इन ऐग्रीमेंट अबाउट देयर अपिनियन अव द डायरेक्टर.
p254_388,train,They really did a great job.,they really did a great job.,थे रियली डिड अ ग्रेट जॉब.
p254_389,train,At the last I found a bunker.,at the last i found a bunker.,एट द लास्ट आई फाउंड अ बंकर.
p254_401,train,It really is a gift to the world.,it really is a gift to the world.,इट रियली इज़ अ गिफ्ट टू द वर्ल्ड.
p255_014,dev,To the Hebrews it was a token that there would be no more universal floods.,to the hebrews it was a token that there would be no more universal floods.,टू द हीब्रूज़ इट वस अ टोकन थैट थेर वुड बी नो मोर यूनिवर्सल फ्लड्स.
p255_017,train,Others have tried to explain the phenomenon physically.,others have tried to explain the phenomenon physically.,अदर्स हैव ट्राइड टू एक्सप्लेन द फिनॉमिनन फिजिकली.
p255_020,train,Many complicated ideas about the rainbow have been formed.,many complicated ideas about the rainbow have been formed.,मैनी काम्प्लिकेटेड आइडियस अबाउट द रेनबो हैव बीन फॉर्म्ड.
p255_035,train,"Two other men, including the taxi driver, were wounded in the attack.","two other men, including the taxi driver, were wounded in the attack.","टू अदर मेन, इनक्लूडिंग द टैक्सी ड्राइवर, वर वुन्डेड इन दि अटैक."
p255_043,train,People were determined to change the Government in the last election.,people were determined to change the government in the last election.,पीपल वर डिटर्माइंड टू चेंज द गवर्नमेंट इन द लास्ट इलेक्शन.
p255_049,train,We were surprised to see the photograph.,we were surprised to see the photograph.,वी वेर सरप्राइज़्ड टू सी द फोटोग्राफ.
p255_052,train,It's very odd.,it's very odd.,इट्स वेरी ऑड.
p255_054,train,That's the truth.,that's the truth.,धैट्स द ट्रूथ.
p255_060,train,"Hopefully, we have learned a lot from that game.","hopefully, we have learned a lot from that game.","होपफुली, वी हैव लर्न्ड अ लॉट फ्रम धैट गेम."
p255_063,train,We should have known.,we should have known.,वी शुद हैव नोन.
p255_067,train,There is an element of racism in Scotland.,there is an element of racism in scotland.,देर इस अन एलिमेंट अफ रेसिज़म इन स्कॉटलैंड.
p255_072,train,It works for us.,it works for us.,इट वर्क्स फॉर अस.
p255_088,train,"However, it did not end that way.","however, it did not end that way.","हाउएवर, इट डिड नॉट एंड दैट वे."
p255_109,train,I came to complete.,i came to complete.,आई केम टू कम्प्लीट.
p255_115,train,I joined a group.,i joined a group.,आई जॉइंड अ ग्रूप.
p255_122,train,Wednesday night was a difficult time for Britton.,wednesday night was a difficult time for britton.,वेंजडे नाइट वज़ अ डिफिकल्ट टाइम फॉर ब्रिटन.
p255_130,train,My main concern is that public health is not put at risk.,my main concern is that public health is not put at risk.,माई मेन कन्सर्न इज़ धैट पब्लिक हेल्थ इज़ नाट पुट ऐट रिस्क.
p255_133,train,The Scottish Socialist party is also expected to attend.,the scottish socialist party is also expected to attend.,द स्कॉटिश सोशलिस्ट पार्टी इस अल्सो एक्सपेक्टेड टू अटेंड.
p255_135,train,Ms McNeill was killed on impact.,ms mcneill was killed on impact.,एमएस मैकनेल वाज किल्ड ऑन इम्पैक्ट.
p255_142,train,Wallace was a prisoner of war.,wallace was a prisoner of war.,वालिस वस अ प्रिज़नर अव वार.
p255_154,train,We shall not be moved.,we shall not be moved.,वी शल नॉट बी मूव्ड.
p255_168,train,We have to move forward.,we have to move forward.,वी हैव टू मूव फॉरवर्ड.
p255_177,train,Waiting times for these services are too long.,waiting times for these services are too long.,वेटिंग टाइम्स फॉर दीज़ सर्विसेज़ आर टू लॉंग.
p255_185,train,The event was held in the council's headquarters in Hamilton.,the event was held in the council's headquarters in hamilton.,दि इवेंट वस हेल्ड इन द काउन्सिल्स हेडक्वार्टर्स इन हैमिल्टन.
p255_187,train,Tony had arrived.,tony had arrived.,टोनी हैड अराइव्ड.
p255_199,train,"However, this idea is never developed.","however, this idea is never developed.","हाउएवर, दिस आइडिया इज नेवर डेवलप्ड."
p255_206,train,The sisters also became the top two players in the world.,the sisters also became the top two players in the world.,द सिस्टर्स ऑल्सो बिकेम द टॉप टू प्लेयर्स इन द वर्ल्ड.
p255_223,train,The FBI could become involved.,the fbi could become involved.,दि एफबीआई कुड बिकम इन्वॉल्वड.
p255_229,train,A career as a doctor is on hold.,a career as a doctor is on hold.,अ कैरियर ऐस अ डॉक्टर इस ऑन होल्ड.
p255_252,train,It's only fair.,it's only fair.,इट्स ओनली फेयर.
p255_259,train,"He was my big brother, my father, my grandfather.","he was my big brother, my father, my grandfather.","ही वाज़ माई बिग ब्रदर, माई फादर, माई ग्रैंडफादर."
p255_266,train,He can do everything.,he can do everything.,ही कैन डू एवरीथिंग.
p255_273,train,This is a question of Islam.,this is a question of islam.,दिस इस अ क्वेश्चन अव इस्लाम.
p255_276,train,"I am pleased with the result, as it was a possible upset.","i am pleased with the result, as it was a possible upset.","आई ऐम प्लीज्ड विथ द रिज़ल्ट, ऐज़ इट वज़ अ पॉसिबल अप्सेट."
p255_280,train,One knows the feeling.,one knows the feeling.,वन नोज़ द फीलिंग.
p255_314,train,"In fact, they have the opposite effect.","in fact, they have the opposite effect.","इन फैक्ट, दे हैव दि ओपोसिट इफेक्ट."
p255_317,train,It will decide today whether he should be struck off the register.,it will decide today whether he should be struck off the register.,इट विल डिसाइड टुडे वेदर ही शुड बी स्ट्रक ऑफ द रेजिस्टर.
p255_324,train,They will be destroyed.,they will be destroyed.,थे विल बी डिस्ट्रॉइड.
p255_325,train,It is a strong case.,it is a strong case.,इट इज अ स्ट्रॉङ केस.
p255_327,train,The police have to act to help them.,the police have to act to help them.,द पुलिस हैव तू ऐक्ट तू हेल्प देम.
p255_364,train,"Not so, it seems.","not so, it seems.","नॉट सो, इट सीम्स."
p255_366,train,"For one veteran, the memories remain vivid.","for one veteran, the memories remain vivid.","फॉर वन वेटरन, द मेमरीज़ रिमेन विविद."
p255_368,train,He put some colour into Scottish history.,he put some color into scottish history.,ही पट सम कलर इंटू स्कॉटिश हिस्टरी.
p256_007,train,The rainbow is a division of white light into many beautiful colors.,the rainbow is a division of white light into many beautiful colors.,द रेनबो इज़ अ डिविजन अव वाइट लाइट इंटू मेनी ब्यूटिफुल कलर्स.
p256_020,train,Many complicated ideas about the rainbow have been formed.,many complicated ideas about the rainbow have been formed.,मेनी कम्प्लिकेटेड आइडियाज़ अबाउट द रेनबो हैव बीन फॉर्म्ड.
p256_028,train,Suggestions of the action being a punishment were dismissed.,suggestions of the action being a punishment were dismissed.,सजेस्चन्स अव दि ऐक्शन बीइंग अ पनिशमेंट वर डिसमिस्ट.
p256_031,train,Mr Ferguson became a minister after seven years as a journalist.,mister ferguson became a minister after seven years as a journalist.,मिस्टर फरगुसन बिकेम अ मिनिस्टर आफ्टर सेवन यियर्स अस अ जर्नलिस्ट.
p256_049,train,It is difficult for Ali.,it is difficult for ali.,इट इज़ डिफिकल्ट फॉर आली.
p256_050,train,It's a blessing.,it's a blessing.,इट्स अ ब्लेसिंग.
p256_067,train,George Robertson described the plan as an outrageous and disgraceful decision.,george robertson described the plan as an outrageous and disgraceful decision.,जॉर्ज रॉबर्टसन डिस्क्राइब्ड द प्लैन ऐस अन औट्रेजस एंड डिसग्रेसफुल डिसिशन.
p256_087,train,"Last week, he was taken into hospital.","last week, he was taken into hospital.","लास्ट वीक, ही वज़ टेकन इंटू हॉस्पिटल."
p256_094,train,A council spokesman said that they could not comment on the issue.,a council spokesman said that they could not comment on the issue.,अ काउंसिल स्पोक्समैन सेड धैट थे कुड नॉट कॉमेंट ऑन दि इश्यू.
p256_119,train,I joined a group.,i joined a group.,आई जॉइंड अ ग्रूप.
p256_128,train,Child abuse is a dreadful thing.,child abuse is a dreadful thing.,चाइल्ड अब्यूस इज़ अ ड्रेडफुल थिंग.
p256_142,train,And the Farmer is worried about another aspect of farming life.,and the farmer is worried about another aspect of farming life.,ऐंड द फार्मर इस वरीड अबाउट अनदर एस्पेक्ट अव फार्मिंग लाइफ.
p256_143,train,The way he took his second goal was brilliant.,the way he took his second goal was brilliant.,द वे ही टुक हिज़ सेकंड गोल वाज ब्रिलिअंट.
p256_153,train,It was by the numbers.,it was by the numbers.,इट वाज बाय द नंबर्स.
p256_156,train,"This year, this month, will be special for Torrance.","this year, this month, will be special for torrance.","धिस यीर, धिस मन्थ, विल बी स्पेशल फॉर टोरेंस."
p256_181,train,Nothing is safe.,nothing is safe.,नथिंग इस सेफ.
p256_188,train,My main concern is that public health is not put at risk.,my main concern is that public health is not put at risk.,माई मेन कन्सर्न इज़ धैट पब्लिक हेल्थ इज़ नाट पुट ऐट रिस्क.
p256_196,train,It is a case of taking a risk.,it is a case of taking a risk.,इट इज अ केस अव टेकिंग अ रिस्क.
p256_202,train,Tommy is not a problem.,tommy is not a problem.,टॉमी इस नॉट अ प्रॉब्लम.
p256_240,train,He claimed the government had lost the plot.,he claimed the government had lost the plot.,ही क्लेम्ड द गवर्नमेंट हैड लॉस्ट द प्लॉट.
p256_242,train,It would appear that it has not been a problem.,it would appear that it has not been a problem.,इट वुड अपियर थैट इट हैज नॉट बीन अ प्रॉब्लम.
p256_247,train,We will need to study the report before any decision is taken.,we will need to study the report before any decision is taken.,वी विल नीड टू स्टडी द रिपोर्ट बिफोर एनी डिसिजन इस टेकन.
p256_249,train,"I've been in two finals, and I've got a medal.","i have been in two finals, and i have got a medal.","आई हैव बीन इन टू फाइनल्स, ऐंड आई हैव गॉट अ मेडल."
p256_263,train,The pensioners did not want to know.,the pensioners did not want to know.,द पेंशनर्स डिड नॉट वांट टू नो.
p256_270,train,He has not created a Festival resource.,he has not created a festival resource.,ही हैज़ नाट क्रिएटेड अ फेस्टिवल रिसोर्स.
p256_279,train,It happens from time to time.,it happens from time to time.,इट हैपन्स फ्रम टाइम टू टाइम.
p256_280,train,"For the moment, that is the result of the X-ray.","for the moment, that is the result of the x-ray.","फॉर द मोमेंट, धैट इस द रिज़ल्ट अव दि एक्स-रे."
p256_281,train,But I've won both ways.,but i have won both ways.,बट आई हैव वन बोथ वेज.
p256_290,train,It shows a contempt by him for the industry.,it shows a contempt by him for the industry.,इट शोज़ अ कन्टेम्प्ट बाई हिम फॉर दि इंडस्ट्री.
p256_301,train,Our task is to complete the picture.,our task is to complete the picture.,आउर टास्क इस टू कम्प्लीट द पिक्चर.
p256_311,train,This is the culture change in medicine.,this is the culture change in medicine.,दिस इस द कल्चर चेंज इन मेडिसिन.
p256_313,train,This wasn't the way it was supposed to be.,this was not the way it was supposed to be.,दिस वज़ नाट द वे इट वज़ सपोज़्ड टू बी.
p257_009,train,"There is, according to legend, a boiling pot of gold at one end.","there is, according to legend, a boiling pot of gold at one end.","देर इस, अकॉर्डिंग टू लेजेंड, अ बॉइलिंग पॉट ऑफ गोल्ड एट वन एंड."
p257_010,train,"People look, but no one ever finds it.","people look, but no one ever finds it.","पीपल लुक, बट नो वन एवर फाइंड्स इट."
p257_012,train,Throughout the centuries people have explained the rainbow in various ways.,throughout the centuries people have explained the rainbow in various ways.,थ्रूआउट द सेंचुरिज़ पीपल हैव एक्सप्लेन्ड द रेनबो इन वेरिअस वेज़.
p257_025,train,"We have to pull together, or we will hang apart.","we have to pull together, or we will hang apart.","वी हैव टू पुल टुगेदर, और वी विल हैंग अपार्ट."
p257_035,train,"Of course, on Tuesday, United were beaten despite this.","of course, on tuesday, united were beaten despite this.","ऑफ कोर्स, ऑन ट्यूज़डे, यूनाइटेड वर बीटन डिस्पाइट दिस."
p257_036,train,I was scared.,i was scared.,आई वज़ स्कैर्ड.
p257_046,dev,It's a blessing.,it's a blessing.,इट्स अ ब्लेसिंग.
p257_054,train,We were surprised to see the photograph.,we were surprised to see the photograph.,वी वर सरप्राइज्ड टू सी द फोटोग्राफ.
p257_058,train,It is not great art.,it is not great art.,इट इज नॉट ग्रेट आर्ट.
p257_067,train,It's all I can do.,it's all i can do.,इट्स आल आई कैन डू.
p257_074,train,It was chaotic.,it was chaotic.,इट वस केआरिक.
p257_075,train,Is there a new way forward?,is there a new way forward,इज़ देर अ न्यू वे फॉरवर्ड
p257_080,train,It is linked to the row over proposed changes at Scottish Ballet.,it is linked to the row over proposed changes at scottish ballet.,इट इज़ लिंक्ट टू द रो ओवर प्रोपोज़्ड चेंजेस ऐट स्कॉटिश बैले.
p257_090,train,Today I couldn't run on it.,today i could not run on it.,टुडे आई कुड नाट रन आन इट.
p257_091,train,We must look forward.,we must look forward.,वी मस्ट लुक फॉरवर्ड.
p257_115,train,We do not expect any surplus.,we do not expect any surplus.,वी डू नाट एक्स्पेक्ट एनी सरप्लस.
